date,url,year,house
1981-02-24,,1981,hofreps
1981-02-25,,1981,hofreps
1981-02-26,,1981,hofreps
1981-03-03,,1981,hofreps
1981-03-04,,1981,hofreps
1981-03-05,,1981,hofreps
1981-03-10,,1981,hofreps
1981-03-11,,1981,hofreps
1981-03-12,,1981,hofreps
1981-03-24,,1981,hofreps
1981-03-25,,1981,hofreps
1981-03-26,,1981,hofreps
1981-03-31,,1981,hofreps
1981-04-01,,1981,hofreps
1981-04-02,,1981,hofreps
1981-04-07,,1981,hofreps
1981-04-08,,1981,hofreps
1981-04-09,,1981,hofreps
1981-04-28,,1981,hofreps
1981-04-29,,1981,hofreps
1981-04-30,,1981,hofreps
1981-05-05,,1981,hofreps
1981-05-06,,1981,hofreps
1981-05-07,,1981,hofreps
1981-05-12,,1981,hofreps
1981-05-13,,1981,hofreps
1981-05-14,,1981,hofreps
1981-05-26,,1981,hofreps
1981-05-27,,1981,hofreps
1981-05-28,,1981,hofreps
1981-06-02,,1981,hofreps
1981-06-03,,1981,hofreps
1981-06-04,,1981,hofreps
1981-06-05,,1981,hofreps
1981-06-09,,1981,hofreps
1981-06-10,,1981,hofreps
1981-08-18,,1981,hofreps
1981-08-19,,1981,hofreps
1981-08-20,,1981,hofreps
1981-08-25,,1981,hofreps
1981-08-26,,1981,hofreps
1981-08-27,,1981,hofreps
1981-09-08,,1981,hofreps
1981-09-09,,1981,hofreps
1981-09-10,,1981,hofreps
1981-09-15,,1981,hofreps
1981-09-16,,1981,hofreps
1981-09-17,,1981,hofreps
1981-09-22,,1981,hofreps
1981-09-23,,1981,hofreps
1981-09-24,,1981,hofreps
1981-10-13,,1981,hofreps
1981-10-14,,1981,hofreps
1981-10-15,,1981,hofreps
1981-10-20,,1981,hofreps
1981-10-21,,1981,hofreps
1981-10-22,,1981,hofreps
1981-10-27,,1981,hofreps
1981-10-28,,1981,hofreps
1981-10-29,,1981,hofreps
1981-11-17,,1981,hofreps
1981-11-18,,1981,hofreps
1982-02-16,,1982,hofreps
1982-02-17,,1982,hofreps
1982-02-18,,1982,hofreps
1982-02-23,,1982,hofreps
1982-02-24,,1982,hofreps
1982-02-25,,1982,hofreps
1982-03-09,,1982,hofreps
1982-03-10,,1982,hofreps
1982-03-11,,1982,hofreps
1982-03-16,,1982,hofreps
1982-03-17,,1982,hofreps
1982-03-18,,1982,hofreps
1982-03-23,,1982,hofreps
1982-03-24,,1982,hofreps
1982-03-25,,1982,hofreps
1982-04-20,,1982,hofreps
1982-04-21,,1982,hofreps
1982-04-22,,1982,hofreps
1982-04-27,,1982,hofreps
1982-04-28,,1982,hofreps
1982-04-29,,1982,hofreps
1982-05-04,,1982,hofreps
1982-05-05,,1982,hofreps
1982-05-06,,1982,hofreps
1982-08-17,,1982,hofreps
1982-08-18,,1982,hofreps
1982-08-19,,1982,hofreps
1982-08-24,,1982,hofreps
1982-08-25,,1982,hofreps
1982-08-26,,1982,hofreps
1982-09-07,,1982,hofreps
1982-09-08,,1982,hofreps
1982-09-09,,1982,hofreps
1982-09-14,,1982,hofreps
1982-09-15,,1982,hofreps
1982-09-16,,1982,hofreps
1982-09-21,,1982,hofreps
1982-09-22,,1982,hofreps
1982-09-23,,1982,hofreps
1982-10-12,,1982,hofreps
1982-10-13,,1982,hofreps
